Wavelength (nm), scalar, vector, tensor
429.9,2524.139379396871,-2391.5511284589047,360.3957930740263
430.0,2500.5761348201286,-2359.4075473912017,358.6215747772626
430.1,2477.484058088815,-2328.051478480127,356.84102283659166
430.2,2454.8485343125494,-2297.45619852668,355.05594032663544
430.3,2432.655559189364,-2267.5961571345115,353.2679913058053
430.4,2410.891706646796,-2238.4469146601346,351.478711415923
430.5,2389.544098583425,-2209.9850839131973,349.6895175902109
430.6,2368.600376546409,-2182.1882753665063,347.90171695595564
430.7,2348.048675195301,-2155.0350456481765,346.1165150082509
430.8,2327.8775974169157,-2128.5048491031666,344.33502312279427
430.9,2308.076190968373,-2102.577992224578,342.5582654683378
431.0,2288.633926535822,-2077.235590767716,340.7871853729323
431.1,2269.5406771067346,-2052.4595293725724,339.02265119250166
431.2,2250.7866985620512,-2028.2324235319907,337.26546172533193
431.3,2232.36261140255,-2004.537583753634,335.51635121168607
431.4,2214.2593835308703,-1981.3589817744953,333.77599395392934
431.5,2196.468314016718,-1958.6812186958732,332.0450085890852
431.6,2178.9810177792156,-1936.4894949165098,330.3239620427689
431.7,2161.789411124757,-1914.769581749089,328.613373190649
431.8,2144.8856980844093,-1893.507794614255,326.91371625127874
431.9,2128.2623574983404,-1872.6909677124681,325.2254239318581
432.0,2111.912130799387,-1852.3064300817186,323.548890346639
432.1,2095.828010451197,-1832.3419829550583,321.8844737258937
432.2,2080.0032289996193,-1812.785878337712,320.23249893180747
432.3,2064.4312486989793,-1793.6267987289264,318.59325979622497
432.4,2049.105751678153,-1774.8538379194272,316.9670212939547
432.5,2034.0206306129253,-1756.456482798737,315.3540215640887
432.6,2019.169979874591,-1738.4245961126237,313.75447379086023
432.7,2004.5480871257053,-1720.748400113229,312.16856795448876
432.8,1990.1494253369533,-1703.4184610497548,310.59647246171534
432.9,1975.9686452001092,-1686.425674449964,309.03833566486065
433.0,1962.0005679141434,-1669.761251146511,307.4942872775816
433.1,1948.2401783229807,-1653.4167040050008,305.9644396948092
433.2,1934.6826183847884,-1637.383835313421,304.44888922379494
433.3,1921.3231809539998,-1621.6547247952099,302.9477172326216
433.4,1908.1573038585993,-1606.2217182106688,301.46099122205624
433.5,1895.180564256222,-1591.0774165136845,299.9887658261761
433.6,1882.3886732536348,-1576.2146655326128,298.5310837467531
433.7,1869.7774707753406,-1561.6265461465762,297.08797662605025
433.8,1857.3429206675405,-1547.3063649294372,295.6594658622766
433.9,1845.0811060252213,-1533.247645236569,294.2455633717018
434.0,1832.9882247299952,-1519.444118709803,292.84627230105644
434.1,1821.0605851879163,-1505.8897171783751,291.46158769363484
434.2,1809.2946022566052,-1492.578564934705,290.091497112248
434.3,1797.6867933518606,-1479.5049713649669,288.7359812219376
